Instance,Income
111994,26781.964530037076
111995,6483.502921327308
111996,70286.52177270385
111997,193389.98449605194
111998,-9147.64170742908
111999,118863.28567127229
112000,127750.36430661066
112001,109131.45847375685
112002,28510.684442813625
112003,130565.98597848252
112004,-45878.633094565885
112005,127266.28203831284
112006,-3170.459803415404
112007,97266.22370768167
112008,306777.6223122258
112009,98604.98823051015
112010,34885.29909893032
112011,12415.218159019249
112012,29847.006230724335
112013,28270.64823026827
112014,160348.3903233431
112015,20643.829488269403
112016,93114.30336144997
112017,27080.562491345918
112018,225195.2851865806
112019,53567.19191282036
112020,19303.0171482694
112021,33912.22555025481
112022,85107.8193943139
112023,87674.01527385088
112024,1801.6708838588092
112025,95473.05862291864
112026,62773.45420052076
112027,78048.08525016205
112028,26513.324692378694
112029,54328.383110539085
112030,158250.59382116032
112031,213915.8907255293
112032,198837.4196299411
112033,69187.44172644377
112034,420531.9968327472
112035,92217.03446188837
112036,192691.26722560223
112037,157596.4818840659
112038,172758.60818533643
112039,20071.546070614015
112040,56196.317992628115
112041,86179.8559636031
112042,32279.435494313133
112043,67496.58261324692
112044,48919.39681248617
112045,25359.629431530833
112046,303950.61934097763
112047,34501.32897082437
112048,-25075.471278912853
112049,99581.06591109789
112050,46176.9735879068
112051,81767.6503875835
112052,123819.29815380173
112053,214329.07738411782
112054,58720.52874633792
112055,-10441.113639182062
112056,98274.09318591529
112057,-6511.029573639913
112058,118099.59992729142
112059,44837.1538687165
112060,325768.0229834001
112061,155159.6897498099
112062,174660.74648090554
112063,68574.25628697529
112064,-24821.519703141705
112065,78983.13005365891
112066,21115.83103515848
112067,108313.60722205459
112068,127688.21498373931
112069,209184.20753990355
112070,379532.32911632076
112071,73597.64103241975
112072,90474.80588669464
112073,16920.431551060115
112074,30.778813420503866
112075,-23102.176802015805
112076,96772.18733728887
112077,703530.0533433883
112078,16699.6728463936
112079,207704.57432410237
112080,184652.97690501035
112081,541295.7951380031
112082,30175.711228519212
112083,14187.078633518773
112084,-19112.871027462534
112085,55186.30229731003
112086,-18365.028295505093
112087,51725.80449087918
112088,130818.45860491466
112089,72047.18381004222
112090,184543.00687272177
112091,40340.54769277829
112092,29823.81086832215
112093,110881.7615963009
112094,48253.780900614045
112095,61831.28830228472
112096,157964.84122121602
112097,-2638.794250089326
112098,-16822.640986347047
112099,37743.189337417076
112100,42497.766667247284
112101,327780.5612973464
112102,11035.279898977198
112103,141848.63353258424
112104,61628.30637831474
112105,102776.69627502694
112106,112799.34749086609
112107,103939.43227960964
112108,89352.58593455097
112109,8446.828249841987
112110,75093.93730470433
112111,11542.459606144228
112112,86944.41821140022
112113,90837.70462997985
112114,72432.5592530542
112115,24066.59700867912
112116,51070.15603023366
112117,94182.0447933072
112118,2655.753430458659
112119,72157.3229645626
112120,317119.4748690204
112121,134048.170764431
112122,440903.72691638506
112123,386402.1228872088
112124,99028.70626664496
112125,162311.22433743294
112126,178068.54518691206
112127,-45771.21391107759
112128,44192.27710079387
112129,115220.82251607275
112130,105089.08255210624
112131,44498.29998116294
112132,74308.71979075557
112133,255182.45017189014
112134,35600.77365428547
112135,-21228.925316422945
112136,82121.53448439811
112137,-6932.992029896472
112138,32438.442645692965
112139,53977.56747387585
112140,67387.52024065278
112141,44026.53506168493
112142,32320.807663522253
112143,291257.7276394711
112144,-12297.256193422654
112145,50492.84447060543
112146,81989.96923547972
112147,219801.70332027256
112148,61804.5557921436
112149,85873.62364498267
112150,-1528.763702681521
112151,244338.67996642017
112152,94090.71276551677
112153,56837.372117596446
112154,75641.21040003598
112155,89503.59222182905
112156,146154.44003692825
112157,158931.15767125375
112158,82126.88310467155
112159,323591.38127260003
112160,42412.50141652557
112161,181776.40386818408
112162,153258.678934152
112163,54049.28432967188
112164,69483.85552407912
112165,153645.42384994237
112166,99527.26272380387
112167,37845.89889905078
112168,66299.16993171786
112169,213769.9090837399
112170,197091.7554045712
112171,47259.89542827188
112172,-4131.02692670963
112173,126506.91832532754
112174,10275.983092988667
112175,23782.025176210387
112176,-9339.542140975886
112177,126164.74845723578
112178,-31158.78998530144
112179,846.9780333050294
112180,10381.80968726048
112181,-19171.806089638034
112182,213716.31178616366
112183,109706.96494340117
112184,-34427.33143699501
112185,313489.2213048924
112186,-12193.820797819411
112187,155732.8831736695
112188,253578.6331382281
112189,39749.85193823313
112190,19212.219634382287
112191,96630.33144628722
112192,365415.5508348196
112193,48866.1248448987
112194,170979.16316897003
112195,62861.80633455876
112196,-28247.982997902785
112197,333047.1871637007
112198,77227.96239597356
112199,34535.63446600095
112200,61118.54446992063
112201,227982.32188512303
112202,135840.33114556823
112203,22193.793150639278
112204,34031.458180115034
112205,-15315.60447206482
112206,101632.31166468858
112207,374710.58336019167
112208,85692.5520700808
112209,410900.89247494296
112210,79526.58374265864
112211,217054.72886065074
112212,97244.77103847003
112213,-2011.8904194547795
112214,285062.0605539845
112215,-3523.4036554542836
112216,141062.81550075725
112217,4947.624724580033
112218,33931.31288808747
