Instance,Income
111994,26093.464751375446
111995,9720.030172381887
111996,51949.81961793102
111997,178414.75586613297
111998,12404.8904077686
111999,111697.40822338867
112000,120729.44864117198
112001,57040.358592028024
112002,39815.5314490175
112003,101871.51745868586
112004,3128.4617187733897
112005,155196.38886674363
112006,2742.3555099898276
112007,98788.56447685004
112008,288228.9309336475
112009,105752.95228049217
112010,47410.165950219656
112011,13358.806709238917
112012,33914.31492219495
112013,37075.635381905966
112014,119018.14973113511
112015,36446.148803642194
112016,47713.20761473097
112017,15725.94994587861
112018,192906.89546878444
112019,52089.12598768286
112020,16493.864041666307
112021,6326.973139075709
112022,80256.66792450042
112023,71173.1810895126
112024,10307.03746777693
112025,84994.67901942672
112026,56912.05753222596
112027,76713.75841425692
112028,18785.433368920494
112029,44535.299938290074
112030,148245.33923814935
112031,270455.0103907144
112032,233113.65556496358
112033,104181.78311727563
112034,322053.2996914047
112035,114851.22786664868
112036,188341.42849564305
112037,129282.7982021595
112038,188153.6259460942
112039,32304.41043322309
112040,62238.73088860441
112041,61097.194546622515
112042,48830.55457883091
112043,52808.49966791129
112044,45887.41044543129
112045,30769.727404155274
112046,285510.0594818331
112047,21272.35426069465
112048,6200.105089728765
112049,106324.21158805331
112050,31258.280698194725
112051,49887.74487137626
112052,116428.26889320221
112053,207112.54917845887
112054,101233.97623934697
112055,15172.50022133928
112056,93324.61481327911
112057,11598.874460292443
112058,67614.36182686592
112059,27813.29704834958
112060,273456.26245664933
112061,126570.71973176696
112062,174875.168586311
112063,74859.5834498995
112064,8489.610788402051
112065,52605.85104618822
112066,16205.427876903246
112067,116604.7125011489
112068,77927.6452966985
112069,243833.6987820542
112070,363890.9341676088
112071,70015.23533135025
112072,90829.64714820521
112073,40052.22567959661
112074,22917.258906491865
112075,11081.858378670251
112076,120753.17352845464
112077,718931.0536485504
112078,9815.064301427064
112079,211637.84960533795
112080,128119.55257164771
112081,535965.5056303635
112082,26375.146073564447
112083,26976.77920181043
112084,16373.148491193786
112085,48679.000165248755
112086,21373.803499599515
112087,40971.07151392636
112088,132466.32363166753
112089,32718.56840657676
112090,188214.48849051076
112091,26975.68954477889
112092,25007.033125481383
112093,100808.47538630078
112094,27345.824201243224
112095,50279.45035501952
112096,138595.73699931454
112097,19945.100599181747
112098,12176.60839503025
112099,27896.764899064394
112100,33306.35740695352
112101,221871.8798259307
112102,14922.890744681567
112103,111147.90865093152
112104,73101.82351282377
112105,62867.781576119596
112106,93063.90751297843
112107,120614.5717793143
112108,86707.3884555789
112109,14927.937810372974
112110,52520.61315817236
112111,21904.50767558382
112112,64917.54728880175
112113,78161.477737832
112114,34537.3537942627
112115,23577.70892267088
112116,45469.45819210064
112117,88174.41727529536
112118,33686.2502281811
112119,33219.28058846934
112120,346633.82990541187
112121,121000.23318665144
112122,382212.8095464144
112123,318879.4970929196
112124,63176.3368537292
112125,198010.85494706142
112126,170188.8706735817
112127,5726.799601138043
112128,51500.84882949709
112129,102565.2940142915
112130,92473.39249677726
112131,70715.27405264185
112132,83551.00102463018
112133,274236.35240022873
112134,39899.59447071353
112135,2185.445883771769
112136,72783.24431511672
112137,12239.78499681473
112138,20056.708950510085
112139,65037.637120508756
112140,41376.59558179471
112141,47372.48870890063
112142,63841.952288905806
112143,227328.33180211077
112144,9533.422501428968
112145,32652.828266259814
112146,52051.25367146611
112147,203142.57332171165
112148,51058.177455236386
112149,72652.8429295041
112150,2710.7594423995756
112151,262799.7696156937
112152,105427.96315422149
112153,61900.8970010211
112154,51817.28556035903
112155,108760.84897581617
112156,103383.2681290385
112157,102773.25344956813
112158,57544.559673437194
112159,300955.80463454797
112160,53849.23893156351
112161,156229.08658886282
112162,125597.79120595046
112163,27835.755111245086
112164,51638.56551874172
112165,152500.98060537913
112166,61203.59852159471
112167,34760.21985970075
112168,50612.333988805956
112169,238234.60961817825
112170,191646.65132571865
112171,49824.85418171443
112172,10575.399007496628
112173,133289.1079166266
112174,19936.226769845325
112175,43135.91370078142
112176,13405.988167347346
112177,127043.48491191954
112178,6757.354265666852
112179,15906.453973263626
112180,21142.9872789726
112181,11346.95609044873
112182,213270.569065932
112183,95110.42492633604
112184,12966.42809470979
112185,298045.72411611443
112186,9688.052218273433
112187,141439.87046202482
112188,150299.8321390347
112189,35079.996839713036
112190,41750.06358599264
112191,89385.8017114679
112192,281377.30468586367
